"year","quarter","count"
1970,1,1
1970,2,1
1970,3,1
1970,4,1
1971,1,1
1971,2,1
1971,3,1
1971,4,1
1972,1,1
1972,2,1
1972,3,1
1972,4,1
1973,1,1
1973,2,1
1973,3,1
1973,4,1
1974,1,1
1974,2,1
1974,3,1
1974,4,1
1975,1,1
1975,2,1
1975,3,1
1975,4,1
1976,1,1
1976,2,1
1976,3,1
1976,4,1
1977,1,1
1977,2,1
1977,3,1
1977,4,1
1978,1,1
1978,2,1
1978,3,1
1978,4,1
1979,1,1
1979,2,1
1979,3,1
1979,4,1
1980,1,2
1980,2,1
1980,3,1
1980,4,1
1981,1,1
1981,2,1
1981,3,1
1981,4,1
1982,1,1
1982,2,1
1982,3,1
1982,4,1
1983,1,1
1983,2,1
1983,3,1
1983,4,1
1984,1,1
1984,2,1
1984,3,1
1984,4,1
1985,1,1
1985,2,1
1985,3,1
1985,4,1
1986,1,1
1986,2,1
1986,3,1
1986,4,1
1987,1,1
1987,2,1
1987,3,1
1987,4,1
1988,1,1
1988,2,1
1988,3,1
1988,4,1
1989,1,1
1989,2,1
1989,3,1
1989,4,1
1990,1,1
1990,2,1
1990,3,1
1990,4,1
1991,1,1
1991,2,1
1991,3,1
1991,4,1
1992,1,1
1992,2,1
1992,3,1
1992,4,1
1993,1,1
1993,2,1
1993,3,1
1993,4,1
1994,1,1
1994,2,1
1994,3,1
1994,4,1
1995,1,1
1995,2,1
1995,3,1
1995,4,1
1996,1,1
1996,2,1
1996,3,1
1996,4,1
1997,1,1
1997,2,1
1997,3,1
1997,4,1
1998,1,2
1998,2,3
1998,3,4
1998,4,6
1999,1,3
1999,2,3
1999,3,6
1999,4,8
2000,1,8
2000,2,8
2000,3,7
2000,4,11
2001,1,12
2001,2,12
2001,3,14
2001,4,13
2002,1,14
2002,2,15
2002,3,17
2002,4,21
2003,1,21
2003,2,24
2003,3,24
2003,4,26
2004,1,28
2004,2,29
2004,3,32
2004,4,33
2005,1,47
2005,2,65
2005,3,92
2005,4,122
2006,1,166
2006,2,249
2006,3,368
2006,4,478
2007,1,586
2007,2,774
2007,3,940
2007,4,1160
2008,1,1454
2008,2,1809
2008,3,2119
2008,4,3359
2009,1,4019
2009,2,4702
2009,3,5359
2009,4,6236
2010,1,7419
2010,2,8590
2010,3,9722
2010,4,11589
2011,1,14202
2011,2,17400
2011,3,19643
2011,4,23442
2012,1,28774
2012,2,34019
2012,3,37859
2012,4,46781
2013,1,54717
2013,2,64279
2013,3,64160
2013,4,42006
2014,1,20520
2014,2,6119
2014,3,3753
2014,4,2743
2015,1,1862
2015,2,1042